Gene	Synonym	ENSG	Description	expression
KCNH1	"eag, eag1, h-eag, Kv10.1"	ENSG00000143473	Potassium voltage-gated channel subfamily H member 1	ElevBrain
KCNK9	"K2p9.1, TASK-3, TASK3"	ENSG00000169427	Potassium two pore domain channel subfamily K member 9	ElevBrain
KLHL1	"FLJ30047, KIAA1490, MRP2"	ENSG00000150361	Kelch like family member 1	ElevBrain
LHFPL3	LHFPL4	ENSG00000187416	LHFPL tetraspan subfamily member 3	ElevBrain
MAP2	"MAP2A, MAP2B, MAP2C"	ENSG00000078018	Microtubule associated protein 2	ElevBrain
NPTX1		ENSG00000171246	Neuronal pentraxin 1	ElevBrain
NTRK1	"MTC, TRK, TRKA"	ENSG00000198400	Neurotrophic receptor tyrosine kinase 1	ElevBrain
OTOL1	"C1QTNF15, C1QTNF16"	ENSG00000182447	Otolin 1	ElevBrain
PCDHGC4	PCDH-GAMMA-C4	ENSG00000242419	"Protocadherin gamma subfamily C, 4"	ElevBrain
PRMT8	"HRMT1L3, HRMT1L4"	ENSG00000111218	Protein arginine methyltransferase 8	ElevBrain
RTN1	NSP	ENSG00000139970	Reticulon 1	ElevBrain
SCN2A	"HBSCI, HBSCII, Nav1.2, SCN2A1, SCN2A2"	ENSG00000136531	Sodium voltage-gated channel alpha subunit 2	ElevBrain
SH3GL3	"CNSA3, EEN-B2, HsT19371, SH3D2C, SH3P13"	ENSG00000140600	"SH3 domain containing GRB2 like 3, endophilin A3"	ElevBrain
SLC1A2	"EAAT2, GLT-1"	ENSG00000110436	Solute carrier family 1 member 2	ElevBrain
SLC25A18		ENSG00000182902	Solute carrier family 25 member 18	ElevBrain
SLC35F1	"C6orf169, dJ230I3.1"	ENSG00000196376	Solute carrier family 35 member F1	ElevBrain
SNAP91	"AP180, CALM, KIAA0656"	ENSG00000065609	Synaptosome associated protein 91	ElevBrain
ST18	"KIAA0535, NZF3, ZC2H2C3, ZC2HC10, ZNF387"	ENSG00000147488	"ST18, C2H2C-type zinc finger"	ElevBrain
SYNPR	"MGC26651, SPO"	ENSG00000163630	Synaptoporin	ElevBrain
SYP	MRX96	ENSG00000102003	Synaptophysin	ElevBrain
TAC1	"NKNA, NPK, TAC2"	ENSG00000006128	Tachykinin precursor 1	ElevBrain
TEX15	CT42	ENSG00000133863	"Testis expressed 15, meiosis and synapsis associated"	ElevBrain
TP53TG3C		ENSG00000205457	TP53 target 3C	ElevBrain
TRPM3	"GON-2, KIAA1616, LTRPC3"	ENSG00000083067	Transient receptor potential cation channel subfamily M member 3	ElevBrain
AC091980.2		ENSG00000275038		ElevBrain
ACP7	"FLJ16165, PAPL, PAPL1"	ENSG00000183760	"Acid phosphatase 7, tartrate resistant (putative)"	ElevBrain
ADAM11	MDC	ENSG00000073670	ADAM metallopeptidase domain 11	ElevBrain
ADCY2	"AC2, HBAC2, KIAA1060"	ENSG00000078295	Adenylate cyclase 2	ElevBrain
ADGRB1	BAI1	ENSG00000181790	Adhesion G protein-coupled receptor B1	ElevBrain
ADORA2A	"ADORA2, RDC8"	ENSG00000128271	Adenosine A2a receptor	ElevBrain
AK5		ENSG00000154027	Adenylate kinase 5	ElevBrain
ATCAY	BNIP-H	ENSG00000167654	"ATCAY, caytaxin"	ElevBrain
ATP2B2	PMCA2	ENSG00000157087	ATPase plasma membrane Ca2+ transporting 2	ElevBrain
ATP2B3	"CFAP39, CLA2, PMCA3, SCAX1"	ENSG00000067842	ATPase plasma membrane Ca2+ transporting 3	ElevBrain
CACNA1E	"BII, CACH6, CACNL1A6, Cav2.3"	ENSG00000198216	Calcium voltage-gated channel subunit alpha1 E	ElevBrain
CBLN1		ENSG00000102924	Cerebellin 1 precursor	ElevBrain
CCDC144NL	MGC87631	ENSG00000205212	"Coiled-coil domain containing 144 family, N-terminal like"	ElevBrain
CMTM5	"CKLFSF5, FLJ37521"	ENSG00000166091	CKLF like MARVEL transmembrane domain containing 5	ElevBrain
CNPY1		ENSG00000146910	Canopy FGF signaling regulator 1	ElevBrain
COL20A1	KIAA1510	ENSG00000101203	Collagen type XX alpha 1 chain	ElevBrain
CRHR1	"CRF-R, CRF1, CRHR"	ENSG00000120088	Corticotropin releasing hormone receptor 1	ElevBrain
CYP46A1	CYP46	ENSG00000036530	Cytochrome P450 family 46 subfamily A member 1	ElevBrain
DLL3	SCDO1	ENSG00000090932	Delta like canonical Notch ligand 3	ElevBrain
EIF4E1B	FLJ36951	ENSG00000175766	Eukaryotic translation initiation factor 4E family member 1B	ElevBrain
ELAVL2	"HEL-N1, HuB"	ENSG00000107105	ELAV like RNA binding protein 2	ElevBrain
ELFN2	"dJ63G5.3, KIAA1904, LRRC62, PPP1R29"	ENSG00000166897	Extracellular leucine rich repeat and fibronectin type III domain containing 2	ElevBrain
ELMOD1	DKFZp547C176	ENSG00000110675	ELMO domain containing 1	ElevBrain
FAM237A		ENSG00000235118	Family with sequence similarity 237 member A	ElevBrain
FEZF2	"FEZL, FKSG36, FLJ10142, TOF, Zfp312, ZNF312"	ENSG00000153266	FEZ family zinc finger 2	ElevBrain
FNDC9	"C5orf40, MGC27121"	ENSG00000172568	Fibronectin type III domain containing 9	ElevBrain
GALNT9	GALNAC-T9	ENSG00000182870	Polypeptide N-acetylgalactosaminyltransferase 9	ElevBrain
GALP		ENSG00000197487	Galanin like peptide	ElevBrain
GDAP1L1		ENSG00000124194	Ganglioside induced differentiation associated protein 1 like 1	ElevBrain
GJC2	"CX46.6, CX47, GJA12, SPG44"	ENSG00000198835	Gap junction protein gamma 2	ElevBrain
GPM6B	"M6B, MGC17150, MGC54284"	ENSG00000046653	Glycoprotein M6B	ElevBrain
GPR151	"GALR4, PGR7"	ENSG00000173250	G protein-coupled receptor 151	ElevBrain
GRIA2	"GluA2, GLUR2, GLURB"	ENSG00000120251	Glutamate ionotropic receptor AMPA type subunit 2	ElevBrain
GRIA4	"GluA4, GLUR4, GLURD"	ENSG00000152578	Glutamate ionotropic receptor AMPA type subunit 4	ElevBrain
GRIN2C	"GluN2C, NMDAR2C"	ENSG00000161509	Glutamate ionotropic receptor NMDA type subunit 2C	ElevBrain
GRM2	"GPRC1B, mGlu2, MGLUR2"	ENSG00000164082	Glutamate metabotropic receptor 2	ElevBrain
HTR2A	"5-HT2A, HTR2"	ENSG00000102468	5-hydroxytryptamine receptor 2A	ElevBrain
HTR4	5-HT4	ENSG00000164270	5-hydroxytryptamine receptor 4	ElevBrain
IPCEF1	"KIAA0403, PIP3-E"	ENSG00000074706	Interaction protein for cytohesin exchange factors 1	ElevBrain
KCNIP2	KCHIP2	ENSG00000120049	Potassium voltage-gated channel interacting protein 2	ElevBrain
KCTD4	bA321C24.3	ENSG00000180332	Potassium channel tetramerization domain containing 4	ElevBrain
KHDC3L	"C6orf221, ECAT1"	ENSG00000203908	"KH domain containing 3 like, subcortical maternal complex member"	ElevBrain
LINGO1	"FLJ14594, LERN1, LRRN6A"	ENSG00000169783	Leucine rich repeat and Ig domain containing 1	ElevBrain
LRFN2	"FIGLER2, KIAA1246, SALM1"	ENSG00000156564	Leucine rich repeat and fibronectin type III domain containing 2	ElevBrain
LRRC10B		ENSG00000204950	Leucine rich repeat containing 10B	ElevBrain
LRRTM2	KIAA0416	ENSG00000146006	Leucine rich repeat transmembrane neuronal 2	ElevBrain
LY6H	NMLY6	ENSG00000176956	Lymphocyte antigen 6 family member H	ElevBrain
MAP1A	MAP1L	ENSG00000166963	Microtubule associated protein 1A	ElevBrain
MAP6D1	"FLJ12748, SL21"	ENSG00000180834	MAP6 domain containing 1	ElevBrain
NAPB	"SNAP-BETA, SNAPB"	ENSG00000125814	NSF attachment protein beta	ElevBrain
NEFL	"CMT1F, CMT2E, NF68, NFL, PPP1R110"	ENSG00000277586	Neurofilament light	ElevBrain
NEUROD1	"BETA2, BHF-1, bHLHa3, MODY6, NeuroD"	ENSG00000162992	Neuronal differentiation 1	ElevBrain
NKX6-3	FLJ25169	ENSG00000165066	NK6 homeobox 3	ElevBrain
NNAT	Peg5	ENSG00000053438	Neuronatin	ElevBrain
NPTXR		ENSG00000221890	Neuronal pentraxin receptor	ElevBrain
OPCML	"IGLON1, OBCAM, OPCM"	ENSG00000183715	Opioid binding protein/cell adhesion molecule like	ElevBrain
PDZD4	"FLJ34125, KIAA1444, LNX5, LU1, PDZK4, PDZRN4L"	ENSG00000067840	PDZ domain containing 4	ElevBrain
PHACTR3	"C20orf101, PPP1R123"	ENSG00000087495	Phosphatase and actin regulator 3	ElevBrain
PLPPR3	"FLJ11535, LPPR3, PRG-2, PRG2"	ENSG00000129951	Phospholipid phosphatase related 3	ElevBrain
PPP1R17	"C7orf16, GSBS"	ENSG00000106341	Protein phosphatase 1 regulatory subunit 17	ElevBrain
PRRT1	"C6orf31, IFITMD7, NG5"	ENSG00000204314	Proline rich transmembrane protein 1	ElevBrain
RAB3A		ENSG00000105649	"RAB3A, member RAS oncogene family"	ElevBrain
RAB3C		ENSG00000152932	"RAB3C, member RAS oncogene family"	ElevBrain
RAPGEF5	"GFR, KIAA0277, MR-GEF"	ENSG00000136237	Rap guanine nucleotide exchange factor 5	ElevBrain
RBM11		ENSG00000185272	RNA binding motif protein 11	ElevBrain
RFPL2	RNF79	ENSG00000128253	Ret finger protein like 2	ElevBrain
RFX4		ENSG00000111783	Regulatory factor X4	ElevBrain
RIMS3	"NIM3, RIM3"	ENSG00000117016	Regulating synaptic membrane exocytosis 3	ElevBrain
RPRML	MGC43894	ENSG00000179673	Reprimo like	ElevBrain
RTN4RL2	"NgR2, NGRH1"	ENSG00000186907	Reticulon 4 receptor like 2	ElevBrain
SAMD14	FLJ36890	ENSG00000167100	Sterile alpha motif domain containing 14	ElevBrain
SBK1	Sbk	ENSG00000188322	SH3 domain binding kinase 1	ElevBrain
SEPT8	"KIAA0202, SEP2"	ENSG00000164402	Septin 8	ElevBrain
SH2D5		ENSG00000189410	SH2 domain containing 5	ElevBrain
SKOR1	"CORL1, FUSSEL15, LBXCOR1"	ENSG00000188779	SKI family transcriptional corepressor 1	ElevBrain
SLC6A1	"GABATHG, GABATR, GAT1"	ENSG00000157103	Solute carrier family 6 member 1	ElevBrain
SOWAHA	ANKRD43	ENSG00000198944	Sosondowah ankyrin repeat domain family member A	ElevBrain
SOX8		ENSG00000005513	SRY-box 8	ElevBrain
SRRM3	FLJ37078	ENSG00000177679	Serine/arginine repetitive matrix 3	ElevBrain
STX1A	"HPC-1, p35-1, STX1"	ENSG00000106089	Syntaxin 1A	ElevBrain
TENM2	"KIAA1127, ODZ2, Ten-M2"	ENSG00000145934	Teneurin transmembrane protein 2	ElevBrain
TMEM132B	"KIAA1786, KIAA1906"	ENSG00000139364	Transmembrane protein 132B	ElevBrain
TMEM272	"FLJ37307, LINC00282, NCRNA00282"	ENSG00000281106	Transmembrane protein 272	ElevBrain
TRIM67	TNL	ENSG00000119283	Tripartite motif containing 67	ElevBrain
UNC13A	"KIAA1032, Munc13-1"	ENSG00000130477	Unc-13 homolog A	ElevBrain
UNC13C	"DKFZp547H074, Munc13-3"	ENSG00000137766	Unc-13 homolog C	ElevBrain
VGF	"SCG7, SgVII"	ENSG00000128564	VGF nerve growth factor inducible	ElevBrain
VWC2	"PSST739, UNQ739"	ENSG00000188730	Von Willebrand factor C domain containing 2	ElevBrain
YJEFN3	"FLJ44968, hYjeF_N3-19p13.11"	ENSG00000250067	YjeF N-terminal domain containing 3	ElevBrain
ZNF488	FLJ32104	ENSG00000265763	Zinc finger protein 488	ElevBrain
AC009477.2		ENSG00000284479		ElevBrain
ACTL6B	"ACTL6, BAF53B"	ENSG00000077080	Actin like 6B	ElevBrain
AKAP5	"AKAP75, AKAP79"	ENSG00000179841	A-kinase anchoring protein 5	ElevBrain
AKAP6	"ADAP6, AKAP100, KIAA0311, mAKAP, PRKA6"	ENSG00000151320	A-kinase anchoring protein 6	ElevBrain
AL109810.2		ENSG00000235710		ElevBrain
APLNR	"AGTRL1, APJ, APJR, FLJ90771"	ENSG00000134817	Apelin receptor	ElevBrain
ARNT2	"bHLHe1, KIAA0307"	ENSG00000172379	Aryl hydrocarbon receptor nuclear translocator 2	ElevBrain
ARPP21	"ARPP-21, R3HDM3, TARPP"	ENSG00000172995	CAMP regulated phosphoprotein 21	ElevBrain
ATP1A2	"FHM2, MHP2"	ENSG00000018625	ATPase Na+/K+ transporting subunit alpha 2	ElevBrain
ATP1A3	DYT12	ENSG00000105409	ATPase Na+/K+ transporting subunit alpha 3	ElevBrain
ATP8A2	"ATPIB, ML-1"	ENSG00000132932	ATPase phospholipid transporting 8A2	ElevBrain
B3GALT1	beta3Gal-T1	ENSG00000172318	"Beta-1,3-galactosyltransferase 1"	ElevBrain
BHLHE22	"Beta3, BHLHB5, bHLHe22, CAGL85, TNRC20"	ENSG00000180828	Basic helix-loop-helix family member e22	ElevBrain
BRINP1	"DBC1, DBCCR1, FAM5A"	ENSG00000078725	BMP/retinoic acid inducible neural specific 1	ElevBrain
C10orf90	"bA422P15.2, FATS, FLJ32938"	ENSG00000154493	Chromosome 10 open reading frame 90	ElevBrain
C1orf141		ENSG00000203963	Chromosome 1 open reading frame 141	ElevBrain
C1QL2	"C1QTNF10, CTRP10"	ENSG00000144119	Complement C1q like 2	ElevBrain
C1QTNF4	"CTRP4, ZACRP4"	ENSG00000172247	C1q and TNF related 4	ElevBrain
C20orf204	"DKFZp434G015, FLJ27267, LINC00176, NCRNA00176, PRR17"	ENSG00000196421	Chromosome 20 open reading frame 204	ElevBrain
CACNG5		ENSG00000075429	Calcium voltage-gated channel auxiliary subunit gamma 5	ElevBrain
CADM2	"IGSF4D, Necl-3, NECL3, SynCAM2"	ENSG00000175161	Cell adhesion molecule 2	ElevBrain
CALCB	"CALC2, CGRP-II, FLJ30166"	ENSG00000175868	Calcitonin related polypeptide beta	ElevBrain
CCDC175	C14orf38	ENSG00000151838	Coiled-coil domain containing 175	ElevBrain
CCDC177	"C14orf162, PLPL"	ENSG00000267909	Coiled-coil domain containing 177	ElevBrain
CCK		ENSG00000187094	Cholecystokinin	ElevBrain
CDR1	"CDR, CDR34, CDR62A"	ENSG00000184258	Cerebellar degeneration related protein 1	ElevBrain
CELF4	BRUNOL4	ENSG00000101489	CUGBP Elav-like family member 4	ElevBrain
CHST6	MCDC1	ENSG00000183196	Carbohydrate sulfotransferase 6	ElevBrain
CLIC6	"CLIC1L, CLIC5"	ENSG00000159212	Chloride intracellular channel 6	ElevBrain
CSMD1	"KIAA1890, PPP1R24"	ENSG00000183117	CUB and Sushi multiple domains 1	ElevBrain
CTNND2	"GT24, NPRAP"	ENSG00000169862	Catenin delta 2	ElevBrain
CX3CR1	"CCRL1, CMKBRL1, CMKDR1, GPR13, V28"	ENSG00000168329	C-X3-C motif chemokine receptor 1	ElevBrain
DACH2		ENSG00000126733	Dachshund family transcription factor 2	ElevBrain
DACT2	"bA503C24.7, C6orf116, DAPPER2"	ENSG00000164488	Dishevelled binding antagonist of beta catenin 2	ElevBrain
DDX25	GRTH	ENSG00000109832	DEAD-box helicase 25	ElevBrain
DGKB	"DAGK2, DGK, DGK-BETA, KIAA0718"	ENSG00000136267	Diacylglycerol kinase beta	ElevBrain
DNER	"bet, UNQ26"	ENSG00000187957	Delta/notch like EGF repeat containing	ElevBrain
DRD5	"DRD1B, DRD1L2"	ENSG00000169676	Dopamine receptor D5	ElevBrain
DTNA	"D18S892E, DRP3, DTN, DTN-1, DTN-2, DTN-3"	ENSG00000134769	Dystrobrevin alpha	ElevBrain
FAM131B	KIAA0773	ENSG00000159784	Family with sequence similarity 131 member B	ElevBrain
FGF12	"FGF12B, FHF1"	ENSG00000114279	Fibroblast growth factor 12	ElevBrain
FGF14	"FHF4, SCA27"	ENSG00000102466	Fibroblast growth factor 14	ElevBrain
FGF17	FGF-13	ENSG00000158815	Fibroblast growth factor 17	ElevBrain
FGFBP3	"C10orf13, MGC39320"	ENSG00000174721	Fibroblast growth factor binding protein 3	ElevBrain
FOXG1	"BF1, FKH2, FKHL1, FKHL2, FKHL3, FKHL4, FOXG1A, FOXG1B, FOXG1C, HBF-3, HFK1, HFK2, HFK3, QIN"	ENSG00000176165	Forkhead box G1	ElevBrain
FSD1	"MGC3213, MIR1"	ENSG00000105255	Fibronectin type III and SPRY domain containing 1	ElevBrain
GABRA3		ENSG00000011677	Gamma-aminobutyric acid type A receptor alpha3 subunit	ElevBrain
GABRG2		ENSG00000113327	Gamma-aminobutyric acid type A receptor gamma2 subunit	ElevBrain
GAD1	GAD	ENSG00000128683	Glutamate decarboxylase 1	ElevBrain
GAL3ST1	CST	ENSG00000128242	Galactose-3-O-sulfotransferase 1	ElevBrain
GALNT8	GALNAC-T8	ENSG00000130035	Polypeptide N-acetylgalactosaminyltransferase 8	ElevBrain
GNAO1	G-ALPHA-o	ENSG00000087258	G protein subunit alpha o1	ElevBrain
GPR139	PGR3	ENSG00000180269	G protein-coupled receptor 139	ElevBrain
GPR148	PGR6	ENSG00000173302	G protein-coupled receptor 148	ElevBrain
GRIA1	"GluA1, GLUR1, GLURA"	ENSG00000155511	Glutamate ionotropic receptor AMPA type subunit 1	ElevBrain
GRID2IP		ENSG00000215045	Grid2 interacting protein	ElevBrain
HCN2	"BCNG-2, BCNG2, HAC-1"	ENSG00000099822	Hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	ElevBrain
KCNA1	"AEMK, HUK1, Kv1.1, MBK1, RBK1"	ENSG00000111262	Potassium voltage-gated channel subfamily A member 1	ElevBrain
KCNC2	Kv3.2	ENSG00000166006	Potassium voltage-gated channel subfamily C member 2	ElevBrain
KCND2	"KIAA1044, Kv4.2, RK5"	ENSG00000184408	Potassium voltage-gated channel subfamily D member 2	ElevBrain
KCNJ13	"Kir1.4, Kir7.1, LCA16"	ENSG00000115474	Potassium voltage-gated channel subfamily J member 13	ElevBrain
KCNK18	"K2p18.1, TRESK, TRESK-2, TRESK2, TRIK"	ENSG00000186795	Potassium two pore domain channel subfamily K member 18	ElevBrain
KCNK4	"K2p4.1, TRAAK"	ENSG00000182450	Potassium two pore domain channel subfamily K member 4	ElevBrain
LRRC3B	LRP15	ENSG00000179796	Leucine rich repeat containing 3B	ElevBrain
LRRC4C	"KIAA1580, NGL-1"	ENSG00000148948	Leucine rich repeat containing 4C	ElevBrain
LRRTM1	FLJ32082	ENSG00000162951	Leucine rich repeat transmembrane neuronal 1	ElevBrain
MAPK8IP2	"IB2, JIP2, PRKM8IPL"	ENSG00000008735	Mitogen-activated protein kinase 8 interacting protein 2	ElevBrain
MEGF11	"DKFZp434L121, KIAA1781"	ENSG00000157890	Multiple EGF like domains 11	ElevBrain
MICAL2	KIAA0750	ENSG00000133816	"Microtubule associated monooxygenase, calponin and LIM domain containing 2"	ElevBrain
MSANTD3-TMEFF1	C9orf30-TMEFF1	ENSG00000251349	MSANTD3-TMEFF1 readthrough	ElevBrain
NDST4		ENSG00000138653	N-deacetylase and N-sulfotransferase 4	ElevBrain
NHLH1	"bHLHa35, HEN1, NSCL, NSCL1"	ENSG00000171786	Nescient helix-loop-helix 1	ElevBrain
NMS		ENSG00000204640	Neuromedin S	ElevBrain
NOS1	"nNOS, NOS"	ENSG00000089250	Nitric oxide synthase 1	ElevBrain
NPBWR2	GPR8	ENSG00000125522	Neuropeptides B and W receptor 2	ElevBrain
NPFFR1	"GPR147, NPFF1R1, OT7T022"	ENSG00000148734	Neuropeptide FF receptor 1	ElevBrain
NPY	PYY4	ENSG00000122585	Neuropeptide Y	ElevBrain
NR2E1	"TLL, TLX, XTLL"	ENSG00000112333	Nuclear receptor subfamily 2 group E member 1	ElevBrain
NSMF	NELF	ENSG00000165802	NMDA receptor synaptonuclear signaling and neuronal migration factor	ElevBrain
NYAP2	KIAA1486	ENSG00000144460	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	ElevBrain
OLFM1	"AMY, NOE1, NOELIN, OlfA"	ENSG00000130558	Olfactomedin 1	ElevBrain
OR6B3	"OR6B3P, OR6B3Q"	ENSG00000178586	Olfactory receptor family 6 subfamily B member 3	ElevBrain
PABPC1L2B	RBM32B	ENSG00000184388	Poly(A) binding protein cytoplasmic 1 like 2B	ElevBrain
PAK5	"KIAA1264, PAK7"	ENSG00000101349	P21 (RAC1) activated kinase 5	ElevBrain
PCDH9		ENSG00000184226	Protocadherin 9	ElevBrain
PCDHGB1	PCDH-GAMMA-B1	ENSG00000254221	"Protocadherin gamma subfamily B, 1"	ElevBrain
PLK5	"PLK5P, SgK384ps"	ENSG00000185988	Polo like kinase 5	ElevBrain
PLPPR1	"FLJ20300, LPPR1, MGC26189, PRG-3"	ENSG00000148123	Phospholipid phosphatase related 1	ElevBrain
PLPPR4	"KIAA0455, LPPR4, PHP1, PRG-1"	ENSG00000117600	Phospholipid phosphatase related 4	ElevBrain
PLPPR5	"LPPR5, PAP2, PAP2D, PRG5"	ENSG00000117598	Phospholipid phosphatase related 5	ElevBrain
PNMA6F	PNMA6BL	ENSG00000225110	PNMA family member 6F	ElevBrain
POU3F1	"OCT6, OTF6, SCIP"	ENSG00000185668	POU class 3 homeobox 1	ElevBrain
PPFIA2		ENSG00000139220	PTPRF interacting protein alpha 2	ElevBrain
PPM1E	"CaMKP-N, KIAA1072, POPX1, PP2CH"	ENSG00000175175	"Protein phosphatase, Mg2+/Mn2+ dependent 1E"	ElevBrain
PRKAR1B		ENSG00000188191	Protein kinase cAMP-dependent type I regulatory subunit beta	ElevBrain
PRR18	MGC35308	ENSG00000176381	Proline rich 18	ElevBrain
PRR35	C16orf11	ENSG00000161992	Proline rich 35	ElevBrain
PTPRZ1	"phosphacan, PTP18, PTPRZ, PTPZ, RPTPB"	ENSG00000106278	"Protein tyrosine phosphatase, receptor type Z1"	ElevBrain
RASGEF1C	FLJ35841	ENSG00000146090	RasGEF domain family member 1C	ElevBrain
RLN2	"bA12D24.1.1, bA12D24.1.2, H2, RLXH2"	ENSG00000107014	Relaxin 2	ElevBrain
RUNDC3A	"RAP2IP, RPIP8"	ENSG00000108309	RUN domain containing 3A	ElevBrain
SCG2	"CHGC, SgII, SN"	ENSG00000171951	Secretogranin II	ElevBrain
SCHIP1	SCHIP-1	ENSG00000151967	Schwannomin interacting protein 1	ElevBrain
SCN2B		ENSG00000149575	Sodium voltage-gated channel beta subunit 2	ElevBrain
SCN3B	HSA243396	ENSG00000166257	Sodium voltage-gated channel beta subunit 3	ElevBrain
SERPINI1	"neuroserpin, PI12"	ENSG00000163536	Serpin family I member 1	ElevBrain
SH3GL2	"CNSA2, EEN-B1, SH3D2A, SH3P4"	ENSG00000107295	"SH3 domain containing GRB2 like 2, endophilin A1"	ElevBrain
SH3TC2	"CMT4C, KIAA1985"	ENSG00000169247	SH3 domain and tetratricopeptide repeats 2	ElevBrain
SLC12A5	"KCC2, KIAA1176"	ENSG00000124140	Solute carrier family 12 member 5	ElevBrain
SLC30A3	ZNT3	ENSG00000115194	Solute carrier family 30 member 3	ElevBrain
SLC35F4	"C14orf36, FLJ37712"	ENSG00000151812	Solute carrier family 35 member F4	ElevBrain
SLC5A5	NIS	ENSG00000105641	Solute carrier family 5 member 5	ElevBrain
SLC6A11	GAT3	ENSG00000132164	Solute carrier family 6 member 11	ElevBrain
SLIT1	"MEGF4, SLIL1, Slit-1, slit1, SLIT3"	ENSG00000187122	Slit guidance ligand 1	ElevBrain
SMIM17		ENSG00000268182	Small integral membrane protein 17	ElevBrain
SPAG8	"BS-84, CT142, HSD-1, hSMP-1, SPAG3"	ENSG00000137098	Sperm associated antigen 8	ElevBrain
STXBP1	"hUNC18, MUNC18-1, rbSec1, UNC18"	ENSG00000136854	Syntaxin binding protein 1	ElevBrain
SV2B	"HsT19680, KIAA0735"	ENSG00000185518	Synaptic vesicle glycoprotein 2B	ElevBrain
SYT14	"FLJ34198, sytXIV"	ENSG00000143469	Synaptotagmin 14	ElevBrain
SYT2		ENSG00000143858	Synaptotagmin 2	ElevBrain
TAGLN3	"NP22, NP25"	ENSG00000144834	Transgelin 3	ElevBrain
TEX26	"C13orf26, MGC40178"	ENSG00000175664	Testis expressed 26	ElevBrain
TLR10	CD290	ENSG00000174123	Toll like receptor 10	ElevBrain
TMCC2	"FLJ38497, HUCEP11"	ENSG00000133069	Transmembrane and coiled-coil domain family 2	ElevBrain
TMEM144	FLJ11155	ENSG00000164124	Transmembrane protein 144	ElevBrain
TMIGD3	AD026	ENSG00000121933	Transmembrane and immunoglobulin domain containing 3	ElevBrain
TPH1	"TPH, TPRH"	ENSG00000129167	Tryptophan hydroxylase 1	ElevBrain
TRMT9B	"C8orf79, FLJ36980, hTRM9L, KIAA1456, TRM9L"	ENSG00000250305	TRNA methyltransferase 9B (putative)	ElevBrain
TTYH1		ENSG00000167614	Tweety family member 1	ElevBrain
TUBB2A	"dJ40E16.7, TUBB, TUBB2"	ENSG00000137267	Tubulin beta 2A class IIa	ElevBrain
UCHL1	"PARK5, PGP9.5, Uch-L1"	ENSG00000154277	Ubiquitin C-terminal hydrolase L1	ElevBrain
YWHAH	YWHA1	ENSG00000128245	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	ElevBrain
ZNF385C		ENSG00000187595	Zinc finger protein 385C	ElevBrain
ZNF385D	"FLJ22419, ZNF659"	ENSG00000151789	Zinc finger protein 385D	ElevBrain
ZNF536	KIAA0390	ENSG00000198597	Zinc finger protein 536	ElevBrain
ABCG4	WHITE2	ENSG00000172350	ATP binding cassette subfamily G member 4	ElevBrain
AC005726.1		ENSG00000258472		ElevBrain
AC026316.5		ENSG00000285218		ElevBrain
AC116565.1		ENSG00000273238		ElevBrain
AC245033.1		ENSG00000260836		ElevBrain
ADAM23	MDC3	ENSG00000114948	ADAM metallopeptidase domain 23	ElevBrain
AL136373.1		ENSG00000282881	Uncharacterized protein LOC105378696 	ElevBrain
AMPH		ENSG00000078053	Amphiphysin	ElevBrain
ANKRD34A	ANKRD34	ENSG00000272031	Ankyrin repeat domain 34A	ElevBrain
ANKRD45	"CT117, FLJ45235"	ENSG00000183831	Ankyrin repeat domain 45	ElevBrain
ANKRD55	FLJ11795	ENSG00000164512	Ankyrin repeat domain 55	ElevBrain
ANKS1B	"AIDA-1, ANKS2, cajalin-2, EB-1"	ENSG00000185046	Ankyrin repeat and sterile alpha motif domain containing 1B	ElevBrain
APLP1	APLP	ENSG00000105290	Amyloid beta precursor like protein 1	ElevBrain
AQP4	MIWC	ENSG00000171885	Aquaporin 4	ElevBrain
ARHGDIG	RHOGDI-3	ENSG00000242173	Rho GDP dissociation inhibitor gamma	ElevBrain
ASPDH		ENSG00000204653	Aspartate dehydrogenase domain containing	ElevBrain
ATP1B2	AMOG	ENSG00000129244	ATPase Na+/K+ transporting subunit beta 2	ElevBrain
